,date,favorites,id,isRetweet,retweets,text
146,2020-12-26 23:23:37,241940,1342974377218994176,False,54057,"....But when it is all over, and this period of time becomes just another ugly chapter in our Country’s history, WE WILL WIN!!!"
147,2020-12-26 23:23:36,196315,1342974375008600064,False,43525,"....Courts are bad, the FBI and “Justice” didn’t do their job, and the United States Election System looks like that of a third world country. Freedom of the press has been gone for a long time, it is Fake News, and now we have Big Tech (with Section 230) to deal with...."
148,2020-12-26 23:23:36,70850,1342974373632876544,False,21383,"....fake signatures, illegal immigrant voters, banned Republican vote watchers, MORE VOTES THAN ACTUAL VOTERS (check out Detroit &amp; Philadelphia), and much more. The numbers are far greater than what is necessary to win the individual swing states, and cannot even be contested...."
149,2020-12-26 23:23:35,301486,1342974370822692864,False,78897,"Time for Republican Senators to step up and fight for the Presidency, like the Democrats would do if they had actually won. The proof is irrefutable! Massive late night mail-in ballot drops in swing states, stuffing the ballot boxes (on video), double voters, dead voters,"
150,2020-12-26 19:02:58,358537,1342908782934958080,False,83037,"The lockdowns in Democrat run states are absolutely ruining the lives of so many people - Far more than the damage that would be caused by the China Virus. Cases in California have risen despite the lockdown, yet Florida &amp; others are open &amp; doing well. Common sense please!"
151,2020-12-26 16:38:48,167379,1342872502306009088,False,37674,Thank you Mark. Big numbers found in Arizona.We must win for our Country! 
152,2020-12-26 14:10:42,413384,1342835233306124288,False,74790,"I simply want to get our great people $2000, rather than the measly $600 that is now in the bill. Also, stop the billions of dollars in “pork”."
153,2020-12-26 14:00:10,263746,1342832582606598144,False,60571,"A young military man working in Afghanistan told me that elections in Afghanistan are far more secure and much better run than the USA’s 2020 Election. Ours, with its millions and millions of corrupt Mail-In Ballots, was the election of a third world country. Fake President!"
154,2020-12-26 13:51:55,275791,1342830505163706368,False,70236,"The U.S. Supreme Court has been totally incompetent and weak on the massive Election Fraud that took place in the 2020 Presidential Election. We have absolute PROOF, but they don’t want to see it - No “standing”, they say. If we have corrupt elections, we have no country!"
155,2020-12-26 13:34:06,225539,1342826019745640448,False,60922,"Where the hell is the Durham Report? They spied on my campaign, colluded with Russia (and others), and got caught. Read the Horowitz Reports about Comey &amp; McCabe. Even the Fake News @nytimes said “bad”. They tried it all, and failed, so now they are trying to steal the election!"
156,2020-12-26 13:25:56,72820,1342823967019687936,False,15261,"I simply want to get out great people $2000, rather than the measly $600 that is now in the bill. Also, stop the billions of dollars in “pork”."
157,2020-12-26 13:14:54,257256,1342821189077622784,False,68902,"The “Justice” Department and the FBI have done nothing about the 2020 Presidential Election Voter Fraud, the biggest SCAM in our nation’s history, despite overwhelming evidence. They should be ashamed. History will remember. Never give up. See everyone in D.C. on January 6th."
158,2020-12-26 13:00:14,243192,1342817496924086272,False,62140,"If a Democrat Presidential Candidate had an Election Rigged &amp; Stolen, with proof of such acts at a level never seen before, the Democrat Senators would consider it an act of war, and fight to the death. Mitch &amp; the Republicans do NOTHING, just want to let it pass. NO FIGHT!"
159,2020-12-26 12:58:50,19182,1342817146347335680,False,4601,"I simply wan to get our great people $2000, rather than $600. Also, Congress should cut the “pork”. "
160,2020-12-26 12:44:01,157532,1342813418177392640,False,41334,"I will not stand by and watch this travesty of a bill happen without reigning in Big Tech. End Section 230 now, before it is too late. So bad for our Country. Show courage, and do what’s right!!! "
161,2020-12-26 12:19:12,128592,1342807171130601472,False,31799,"Our $740 defense bill is a gift to China, Russia &amp; Big Tech. It fails to terminate the internationally dangerous Section 230, won’t allow us to bring our troops back home (where they belong), renames &amp; destroys our forts &amp; National Monuments, &amp; makes 5G almost impossible! "
162,2020-12-26 00:11:37,188392,1342624069687062528,False,41823,"But we already know enough, and we won big! "
163,2020-12-25 19:53:44,217229,1342559171649167360,False,39129,Thank you! 
164,2020-12-25 19:42:17,289734,1342556287872233472,False,48060,Going now to make a short speech to service members from all over the world. It is a celebration of Christmas. Video Conference - Fake News not invited!
165,2020-12-25 19:38:40,133335,1342555377951510528,False,25452,The greatest of all time. Fake News! 
166,2020-12-25 19:36:28,301625,1342554825465196544,False,56841,"Made many calls and had meetings at Trump International in Palm Beach, Florida. Why would politicians not want to give people $2000, rather than only $600? It wasn’t their fault, it was China. Give our people the money!"
167,2020-12-25 13:32:32,835413,1342463237841948672,False,105382,MERRY CHRISTMAS!
168,2020-12-24 23:06:53,336363,1342245390540804096,False,77029,"I saved at least 8 Republican Senators, including Mitch, from losing in the last Rigged (for President) Election. Now they (almost all) sit back and watch me fight against a crooked and vicious foe, the Radical Left Democrats. I will NEVER FORGET!"
169,2020-12-24 22:59:54,346714,1342243632833814528,False,88766,"Twitter is going wild with their flags, trying hard to suppress even the truth. Just shows how dangerous they are, purposely stifling free speech. Very dangerous for our Country. Does Congress know that this is how Communism starts? Cancel Culture at its worst. End Section 230!"
170,2020-12-24 20:56:47,488735,1342212651447967744,False,109890,"VOTER FRAUD IS NOT A CONSPIRACY THEORY, IT IS A FACT!!!"
171,2020-12-24 20:55:33,141039,1342212340436135936,False,34335,"Maria’s show and ratings are better than ever. They are trying to shame her into not telling the truth. Her audience would be gone, and she is far too smart for that. Rigged Election! "
172,2020-12-24 20:43:19,212920,1342209260026023936,False,50004,"At a meeting in Florida today, everyone was asking why aren’t the Republicans up in arms &amp; fighting over the fact that the Democrats stole the rigged presidential election? Especially in the Senate, they said, where you helped 8 Senators win their races. How quickly they forget!"
173,2020-12-24 20:30:57,205301,1342206148649299968,False,30151,"More than one million Americans have already received the China Virus Vaccine, a record pace!"
175,2020-12-24 19:03:54,161339,1342184240088276992,False,30061,Rush is the GREATEST! 
180,2020-12-23 23:16:23,328025,1341885394124607488,False,87025,"After seeing the massive Voter Fraud in the 2020 Presidential Election, I disagree with anyone that thinks a strong, fast, and fair Special Counsel is not needed, IMMEDIATELY. This was the most corrupt election in the history of our Country, and it must be closely examined!"
181,2020-12-23 21:47:13,295673,1341862955604975616,False,61173,"...Some friendly health advice to Iran: If one American is killed, I will hold Iran responsible. Think it over."
