,word,times_used
0,election,178
1,votes,91
2,great,90
3,people,73
4,amp,73
5,big,71
6,georgia,70
7,states,67
8,state,59
9,win,57
10,fraud,56
11,news,46
12,fake,46
13,many,45
14,trump,45
15,get,44
16,biden,44
17,country,44
18,vote,43
19,rigged,43
